xLocation,yLocation,surveyPointElev,Z_depth,Z_use,Z_label,SurveyDateStamp,SurveyId,surveyPointIDPK,sdsID,sdsFeatureName,sdsFeatureDescription,sdsMetadataID,elevationDatum,elevationUOM,mediaIDFK,sourceType,surveyJobIDFK,channelAreaIDFK,xLocationUOM,yLocationUOM,Z_use_tin,Z_diff,geometry
874557.1,855739.16,-4.49,-4.49,-4.49,+4.5,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-4.44,12.489999771118164,POINT (874557.100119669 855739.1599525064)
874715.11,855185.16,6.79,6.79,6.79,6.8,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,6.84,1.2100000381469727,POINT (874715.1099742502 855185.1600762531)
874557.1,855867.18,-3.58,-3.58,-3.58,+3.6,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-3.53,11.579999923706055,POINT (874557.100119669 855867.1800376698)
874399.1,855459.18,-6.79,-6.79,-6.79,+6.8,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-6.74,14.789999961853027,POINT (874399.1001075841 855459.1798694208)
875185.12,856773.15,15.58,15.58,15.58,15.6,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,15.63,-5.579999923706055,POINT (875185.1198609993 856773.1500105038)
874605.1,855617.18,-1.74,-1.74,-1.74,+1.7,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-1.69,9.740000009536743,POINT (874605.1000236683 855617.1798815057)
874557.1,855689.16,-6.86,-6.86,-6.86,+6.9,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-6.81,14.860000133514404,POINT (874557.100119669 855689.1600525007)
874623.11,855525.15,8.3,8.3,8.3,8.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,8.35,-0.3000001907348633,POINT (874623.1101582497 855525.1498818398)
874651.1,855569.15,8.86,8.86,8.86,8.9,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,8.91,-0.8599996566772461,POINT (874651.0999316685 855569.1501219198)
874529.12,855773.15,-9.88,-9.88,-9.88,+9.9,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-9.83,17.880000114440918,POINT (874529.1198606677 855773.1500420049)
874637.12,855667.18,8.33,8.33,8.33,8.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,8.38,-0.3299999237060547,POINT (874637.1199727505 855667.1801095828)
875169.11,856911.17,15.62,15.62,15.62,15.6,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,15.67,-5.619999885559082,POINT (875169.1100504994 856911.1700756699)
